time,equity
1750521600000,6744.00392013
1750525200000,6744.00392013
1750528800000,6744.00392013
1750532400000,6744.00392013
1750536000000,6744.00392013
1750539600000,6744.00392013
1750543200000,6744.00392013
1750546800000,6744.00392013
1750550400000,6744.00392013
1750554000000,6744.00392013
1750557600000,6744.00392013
1750561200000,6744.00392013
1750564800000,6744.00392013
1750568400000,6744.00392013
1750572000000,6744.00392013
1750575600000,6744.00392013
1750579200000,6744.00392013
1750582800000,6744.00392013
1750586400000,6744.00392013
1750590000000,6744.00392013
1750593600000,6744.00392013
1750597200000,6744.00392013
1750600800000,6744.00392013
1750604400000,6744.00392013
1750608000000,6744.00392013
1750611600000,6744.00392013
1750615200000,6744.00392013
1750618800000,6744.00392013
1750622400000,6744.00392013
1750626000000,6744.00392013
1750629600000,6744.00392013
1750633200000,6744.00392013
1750636800000,6744.00392013
1750640400000,6744.00392013
1750644000000,6744.00392013
1750647600000,6744.00392013
1750651200000,6744.00392013
1750654800000,6744.00392013
1750658400000,6744.00392013
1750662000000,6744.00392013
1750665600000,6744.00392013
1750669200000,6744.00392013
1750672800000,6744.00392013
1750676400000,6744.00392013
1750680000000,6744.00392013
1750683600000,6744.00392013
1750687200000,6744.00392013
1750690800000,6744.00392013
1750694400000,6744.00392013
1750698000000,6744.00392013
1750701600000,6744.00392013
1750705200000,6744.00392013
1750708800000,6744.00392013
1750712400000,6744.00392013
1750716000000,6744.00392013
1750719600000,6744.00392013
1750723200000,6744.00392013
1750726800000,6744.00392013
1750730400000,6744.00392013
1750734000000,6744.00392013
1750737600000,6744.00392013
1750741200000,6744.00392013
1750744800000,6744.00392013
1750748400000,6744.00392013
1750752000000,6744.00392013
1750755600000,6744.00392013
1750759200000,6744.00392013
1750762800000,6744.00392013
1750766400000,6744.00392013
1750770000000,6744.00392013
1750773600000,6744.00392013
1750777200000,6744.00392013
1750780800000,6744.00392013
1750784400000,6744.00392013
1750788000000,6744.00392013
1750791600000,6744.00392013
1750795200000,6744.00392013
1750798800000,6744.00392013
1750802400000,6744.00392013
1750806000000,6744.00392013
1750809600000,6744.00392013
1750813200000,6744.00392013
1750816800000,6744.00392013
1750820400000,6744.00392013
1750824000000,6744.00392013
1750827600000,6744.00392013
1750831200000,6744.00392013
1750834800000,6744.00392013
1750838400000,6744.00392013
1750842000000,6744.00392013
1750845600000,6744.00392013
1750849200000,6744.00392013
1750852800000,6744.00392013
1750856400000,6744.00392013
1750860000000,6744.00392013
1750863600000,6744.00392013
1750867200000,6744.00392013
1750870800000,6744.00392013
1750874400000,6744.00392013
1750878000000,6744.00392013
1750881600000,6744.00392013
1750885200000,6744.00392013
1750888800000,6744.00392013
1750892400000,6744.00392013
1750896000000,6744.00392013
1750899600000,8765.38472066
1750903200000,8771.15967811
1750906800000,8769.86820813
1750910400000,8769.55990962
1750914000000,8765.70993799
1750917600000,8767.86614769
1750921200000,8769.10122159
1750924800000,8767.81163149
1750928400000,8759.60412360
1750932000000,8760.84107738
1750935600000,8759.78271115
1750939200000,8755.78047013
1750942800000,8752.88547193
1750946400000,8762.04419351
1750950000000,8759.54208792
1750953600000,8757.45543338
1750957200000,8757.22796923
1750960800000,8760.89371371
1750964400000,8763.60448475
1750968000000,8768.33423506
1750971600000,8754.08294846
1750975200000,8753.54530594
1750978800000,8753.03210171
1750982400000,8747.58424146
1750986000000,8755.96093755
1750989600000,8758.30889389
1750993200000,8762.70026778
1750996800000,8763.17587463
1751000400000,8758.62095213
1751004000000,8758.96120841
1751007600000,8751.21238856
1751011200000,8753.73329283
1751014800000,8755.45525280
1751018400000,8753.78028956
1751022000000,8753.59606240
1751025600000,8747.73087124
1751029200000,8750.43412280
1751032800000,8745.41863242
1751036400000,8759.56652622
1751040000000,8762.52731984
1751043600000,8751.06763864
1751047200000,8748.06548791
1751050800000,8749.91903871
1751054400000,8755.90830122
1751058000000,8754.62435072
1751061600000,8755.55112612
1751065200000,8754.85557460
1751068800000,8754.77474024
1751072400000,8755.06987966
1751076000000,8755.81618764
1751079600000,8759.31650365
1751083200000,8757.34452111
1751086800000,8759.20747125
1751090400000,8761.50091138
1751094000000,8762.79426123
1751097600000,8760.85423646
1751101200000,8759.38793867
1751104800000,8758.67734820
1751108400000,8760.67564891
1751112000000,8759.93874027
1751115600000,8755.90454148
1751119200000,8757.48927102
1751122800000,8762.31677451
1751126400000,8759.35786077
1751130000000,8762.63447237
1751133600000,8759.87482473
1751137200000,8757.70921569
1751140800000,8756.68844684
1751144400000,8759.73195469
1751148000000,8760.46322372
1751151600000,8759.18491282
1751155200000,8762.57619643
1751158800000,8759.71879561
1751162400000,8759.39545815
1751166000000,8757.59642355
1751169600000,8758.79390008
1751173200000,8759.54208792
1751176800000,8760.83543777
1751180400000,8761.55730745
1751184000000,8767.02396639
1751187600000,8770.67279205
1751191200000,8775.73715903
1751194800000,8781.88057080
1751198400000,8776.30299959
1751202000000,8773.69750121
1751205600000,8771.45857727
1751209200000,8767.56724852
1751212800000,8763.94850077
1751216400000,8763.77931256
1751220000000,8765.37908105
1751223600000,8761.16817458
1751227200000,8760.29591538
1751230800000,8764.04625396
1751234400000,8774.23326386
1751238000000,8779.27695228
1751241600000,8785.96364618
1751245200000,8782.01028175
1751248800000,8781.74710010
1751252400000,8782.22646668
1751256000000,8778.60583906
1751259600000,8777.83133305
1751263200000,8764.13836754
1751266800000,8765.23057140
1751270400000,8763.20595253
1751274000000,8762.70026778
1751277600000,8765.68549969
1751281200000,8766.08591178
1751284800000,8764.55945818
1751288400000,8763.71351715
1751292000000,8750.22733722
1751295600000,8764.53501989
1751299200000,8765.02566569
1751302800000,8762.60251459
1751306400000,8758.24497834
1751310000000,8767.61800498
1751313600000,8764.69856849
1751317200000,8755.89702201
1751320800000,8755.61504166
1751324400000,8756.29743410
1751328000000,8760.81663908
1751331600000,8757.88404350
1751335200000,8755.59624297
1751338800000,8757.46295285
1751342400000,8751.57708313
1751346000000,8752.60725132
1751349600000,8751.73499213
1751353200000,8757.19037185
1751356800000,8748.37566629
1751360400000,8745.30208054
1751364000000,8744.09896440
1751367600000,8746.32284939
1751371200000,8742.76049770
1751374800000,8750.25553525
1751378400000,8733.27279905
1751382000000,8734.13189917
1751385600000,8736.62836515
1751389200000,8739.61923667
1751392800000,8730.07326208
1751396400000,8723.45048373
1751400000000,8733.22580233
1751403600000,8730.83084927
1751407200000,8727.86629592
1751410800000,8729.04873350
1751414400000,8723.37716884
1751418000000,8729.61645392
1751421600000,8733.33483473
1751425200000,8738.48755555
1751428800000,8742.32248824
1751432400000,8746.83981335
1751436000000,8753.98519527
1751439600000,8755.14319455
1751443200000,8767.65560236
1751446800000,8765.77197366
1751450400000,8769.40764023
1751454000000,8762.91833258
1751457600000,8760.91627214
1751461200000,8768.26467991
1751464800000,8775.26719179
1751468400000,8786.52384713
1751472000000,8799.14904708
1751475600000,8843.91216013
1751479200000,8843.91216013
1751482800000,8843.91216013
1751486400000,8843.91216013
1751490000000,8843.91216013
1751493600000,8843.91216013
1751497200000,8843.91216013
1751500800000,8843.91216013
1751504400000,8843.91216013
1751508000000,8843.91216013
1751511600000,8843.91216013
1751515200000,8843.91216013
1751518800000,11494.69861485
1751522400000,11497.84083301
1751526000000,11493.35437634
1751529600000,11495.54301015
1751533200000,11509.36149081
1751536800000,11506.93506752
1751540400000,11501.02187395
1751544000000,11490.56156313
1751547600000,11517.26192506
1751551200000,11503.90931767
1751554800000,11489.83120972
1751558400000,11493.39319911
1751562000000,11499.90086639
1751565600000,11503.12800937
1751569200000,11505.70244449
1751572800000,11509.55803110
1751576400000,11505.72670872
1751580000000,11503.56961841
1751583600000,11500.88114140
1751587200000,11497.90392002
1751590800000,11498.69250759
1751594400000,11491.00074575
1751598000000,11492.39836556
1751601600000,11486.15275200
1751605200000,11486.64531593
1751608800000,11487.23008395
1751612400000,11479.42670663
1751616000000,11480.61565404
1751619600000,11486.35899798
1751623200000,11483.99080885
1751626800000,11483.82581206
1751630400000,11480.00176895
1751634000000,11461.41536652
1751637600000,11457.62529333
1751641200000,11452.09790107
1751644800000,11453.51735869
1751648400000,11459.12239650
1751652000000,11450.04272054
1751655600000,11449.54773018
1751659200000,11454.54616217
1751662800000,11459.97892393
1751666400000,11468.18994035
1751670000000,11461.82057921
1751673600000,11466.62004448
1751677200000,11461.92734183
1751680800000,11463.83936339
1751684400000,11465.65675443
1751688000000,11465.27580598
1751691600000,11465.38984787
1751695200000,11468.92029377
1751698800000,11463.40988646
1751702400000,11462.76688429
1751706000000,11464.20332688
1751709600000,11464.27854600
1751713200000,11464.82206482
1751716800000,11465.96248377
1751720400000,11465.26852671
1751724000000,11467.02768360
1751727600000,11463.69620441
1751731200000,11464.82691767
1751734800000,11464.47508629
1751738400000,11461.98557599
1751742000000,11465.62278451
1751745600000,11464.27611958
1751749200000,11464.08685856
1751752800000,11466.57394244
1751756400000,11467.11018199
1751760000000,11467.24848812
1751763600000,11467.15871045
1751767200000,11463.39047508
1751770800000,11463.29827099
1751774400000,11461.83756417
1751778000000,11461.97344387
1751781600000,11465.15691124
1751785200000,11463.17694983
1751788800000,11462.25248255
1751792400000,11458.34351463
1751796000000,11461.83513775
1751799600000,11463.80781988
1751803200000,11468.07347204
1751806800000,11480.69329959
1751810400000,11484.69447160
1751814000000,11484.17764344
1751817600000,11482.57620407
1751821200000,11484.37903657
1751824800000,11473.67608342
1751828400000,11475.36972688
1751832000000,11478.09460024
1751835600000,11491.57823449
1751839200000,11492.13631185
1751842800000,11491.19000676
1751846400000,11482.28018042
1751850000000,11486.82729768
1751853600000,11495.12809177
1751857200000,11496.11807247
1751860800000,11489.18578112
1751864400000,11488.32682727
1751868000000,11481.17615783
1751871600000,11488.04778860
1751875200000,11486.71568221
1751878800000,11482.73392158
1751882400000,11478.80311584
1751886000000,11477.94416200
1751889600000,11470.67459781
1751893200000,11475.00091054
1751896800000,11467.22422388
1751900400000,11469.42984266
1751904000000,11461.75263935
1751907600000,11460.96162536
1751911200000,11462.80813349
1751914800000,11463.38562223
1751918400000,11458.91615052
1751922000000,11466.20755252
1751925600000,11462.56063831
1751929200000,11468.33552575
1751932800000,11469.21631741
1751936400000,11454.89556712
1751940000000,11457.00170254
1751943600000,11459.81150072
1751947200000,11463.04834939
1751950800000,11467.24848812
1751954400000,11469.21631741
1751958000000,11474.08129611
1751961600000,11468.43500911
1751965200000,11473.23204796
1751968800000,11482.31172393
1751972400000,11480.69087317
1751976000000,11485.30350385
1751979600000,11487.10876278
1751983200000,11471.56024231
1751986800000,11468.65338720
1751990400000,11472.88992228
1751994000000,11486.34443944
1751997600000,11490.35774357
1752001200000,11480.94564761
1752004800000,11477.41277530
1752008400000,11483.94228038
1752012000000,11484.28197964
1752015600000,11484.57315044
1752019200000,11484.98321597
1752022800000,11481.10336513
1752026400000,11477.40306960
1752030000000,11470.95606291
1752033600000,11475.52016513
1752037200000,11481.07910089
1752040800000,11482.53252845
1752044400000,11479.76155305
1752048000000,11478.24261206
1752051600000,11480.46036295
1752055200000,11484.01507308
1752058800000,11487.85367473
1752062400000,11494.60883718
1752066000000,11490.97405509
1752069600000,11483.77000433
1752073200000,11488.13756626
1752076800000,11496.14476313
1752080400000,11490.28252445
1752084000000,11499.43499312
1752087600000,11553.62187813
1752091200000,11528.31428317
1752094800000,11530.98334879
1752098400000,11544.13698947
1752102000000,11541.03116765
1752105600000,11532.99242728
1752109200000,11539.77913323
1752112800000,11540.50948664
1752116400000,11536.86499886
1752120000000,11538.77459399
1752123600000,11537.59777869
1752127200000,11540.66235131
1752130800000,11540.69632124
1752134400000,11540.67448343
1752138000000,11536.12736617
1752141600000,11537.07367126
1752145200000,11535.50620181
1752148800000,11531.54627900
1752152400000,11530.11468925
1752156000000,11540.91227291
1752159600000,11544.67322902
1752163200000,11574.91374254
1752166800000,11601.26227309
1752170400000,11593.96116540
1752174000000,11590.68064110
1752177600000,11786.75930506
1752181200000,11786.75930506
1752184800000,11786.75930506
1752188400000,11786.75930506
1752192000000,11786.75930506
1752195600000,11786.75930506
1752199200000,11786.75930506
1752202800000,11786.75930506
1752206400000,11786.75930506
1752210000000,11786.75930506
1752213600000,11786.75930506
1752217200000,11786.75930506
1752220800000,11786.75930506
1752224400000,11786.75930506
1752228000000,11786.75930506
1752231600000,11786.75930506
1752235200000,11786.75930506
1752238800000,11786.75930506
1752242400000,11786.75930506
1752246000000,11786.75930506
1752249600000,11786.75930506
1752253200000,11786.75930506
1752256800000,11786.75930506
1752260400000,11786.75930506
1752264000000,11786.75930506
1752267600000,11786.75930506
1752271200000,11786.75930506
1752274800000,11786.75930506
1752278400000,11786.75930506
1752282000000,11786.75930506
1752285600000,11786.75930506
1752289200000,11786.75930506
1752292800000,11786.75930506
1752296400000,11786.75930506
1752300000000,15319.60555512
1752303600000,15316.55710517
1752307200000,15322.00290898
1752310800000,15329.46200995
1752314400000,15326.53957860
